id,ท่าเทียบเรือ (ต้นทาง),ท่าเทียบเรือ (ปลายทาง),2552,2553,2554,2555,2556,2557,2558,2559,2560,2561,avg,,,,,,,,,,,,,,,,,
1,ท่าปากเกร็ด,ท่าวัดเตย,"64,520","62,409","62,254","66,216","65,417","67,361","66,606","60,271","63,555","59,243","63,785",,,,,,,,,,,,,,,,,
2,ท่าเทศบาลปากเกร็ด,ท่าวัชรีวงค์,"63,592","65,453","61,448","62,641","63,003","59,663","58,181","57,842","59,073","65,124","61,602",,,,,,,,,,,,,,,,,
3,ท่าเทศบาลนนทบุรี,ท่าเทศบาลบางศรีเมือง,"96,011","96,544","103,188","88,662","97,200","99,007","99,678","96,893","94,670","93,761","96,561",,,,,,,,,,,,,,,,,
4,ท่าเขมาฯ,ท่าพยอมทอง,"13,984","12,894","11,963","13,786","14,108","11,515",-,-,-,-,"13,042",,,,,,,,,,,,,,,,,
5,ท่าเขมาฯ,ท่าวัดค้างคาว,"26,533","25,758","24,747","27,042","25,736","25,087",-,-,-,-,"25,817",,,,,,,,,,,,,,,,,
6,ท่าเกียกกาย,ท่าวัดฉัตรแก้วฯ,"7,052","4,550","3,241","1,181",-,-,-,-,-,-,"4,006",,,,,,,,,,,,,,,,,
7,ท่าพายัพ,ท่าวัดอาวุธฯ,"20,466","22,057","21,109","20,919","21,509","20,925","21,077","14,146",-,-,"20,276",,,,,,,,,,,,,,,,,
8,ท่าเทเวศร์,ท่าวัดบวรมงคล,"30,365","30,607","29,004","30,346","29,352","29,779","29,557","28,825","29,007","27,316","29,416",,,,,,,,,,,,,,,,,
9,ท่าเทเวศร์,ท่าวัดคฤหบดี,"25,285","17,442","28,254","23,825","21,140","22,132","22,949","17,521","19,200","17,501","21,525",,,,,,,,,,,,,,,,,
10,ท่าพระปิ่นเกล้า(ฝั่งพระนคร),"ท่าพระปิ่นเกล้า
(ฝั่งธนบุรี)","25,300","22,585","24,722","24,447","23,446","22,402",-,-,-,-,"23,817",,,,,,,,,,,,,,,,,
11,ท่าพระจันทร์เหนือ,ท่าพระปิ่นเกล้า,"25,071","23,818","24,843",-,-,-,-,-,-,-,"24,577",,,,,,,,,,,,,,,,,
12,ท่าพระจันทร์เหนือ,ท่ารถไฟ,"28,479","26,097","26,330",-,-,"14,245",-,-,-,-,"23,788",,,,,,,,,,,,,,,,,
13,ท่าพระจันทร์เหนือ,ท่าวังหลัง,"50,948","49,501","48,933","44,868","42,033","44,023","35,152","37,402","36,239","32,424","42,152",,,,,,,,,,,,,,,,,
14,ท่ามหาราช,ท่าวังหลัง,-,-,-,-,-,-,"37,574",29937,"29,111","28,339","31,240",,,,,,,,,,,,,,,,,
15,ท่าช้าง,ท่าวังหลัง,"52,104","50,958","51,050","47,944","44,649","45,294","42,514","41,724","32,442","31,318","44,000",,,,,,,,,,,,,,,,,
16,ท่าช้าง,ท่าวัดระฆัง,"24,760","23,739","27,294","25,150","24,504","25,337","24,555","25,821","22,562","21,322","24,504",,,,,,,,,,,,,,,,,
17,ท่าเตียน,ท่าวัดอรุณฯ,"35,347","29,943","35,245","35,532","38,102","37,733","35,808","36,866","36,439","40,052","36,107",,,,,,,,,,,,,,,,,
18,ท่าอัษฎางค์(ปากคลองตลาด),ท่าวัดกัลยาณมิตร,"25,924","25,425","25,534","24,518","21,246","21,140","22,190","20,585","21,158","20,147","22,787",,,,,,,,,,,,,,,,,
19,ท่าอัษฎางค์(ปากคลองตลาด),ท่าวัดกุฎีจีน,"21,981","20,151","19,346",-,"1,085",560,-,-,-,-,"12,625",,,,,,,,,,,,,,,,,
20,ท่าราชวงศ์,ท่าดินแดง,"50,013","49,284","47,497","44,327","41,681","42,983","42,236","39,932","46,635","45,548","45,014",,,,,,,,,,,,,,,,,
21,ท่าสวัสดี,ท่าวัดทองธรรมชาติ,"29,912","28,008","26,368","25,423","24,727","25,401",-,"20,789","11,620","13,740","22,888",,,,,,,,,,,,,,,,,
22,ท่าสี่พระยา,ท่ารถไฟคลองสาน,"48,960","50,414","47,821","52,462","67,481","76,440","75,656","71,135","75,593","76,752","64,271",,,,,,,,,,,,,,,,,
23,ท่าโอเรียนเต็ล,ท่าวัดสุวรรณ,"61,385","62,458","59,904","55,685","54,928","51,066","50,413","47,044","49,267","46,887","53,904",,,,,,,,,,,,,,,,,
24,ท่าสวนพลู,ท่าดูเม็กซ์,"25,882","22,655","24,337",-,-,-,-,-,-,-,"24,291",,,,,,,,,,,,,,,,,
25,ท่าสาทร,ท่าตากสิน,"46,247","40,472","36,769","36,336","33,829","31,145","29,068","28,786","27,860","29,315","33,983",,,,,,,,,,,,,,,,,
26,ท่าสี่ตา,ท่าวัดเศวตฉัตร,"22,022","22,008","22,504","18,222","12,612",-,-,-,-,-,"19,474",,,,,,,,,,,,,,,,,
27,ท่าสาธุประดิษฐ์,ท่าวัดบางพึ่ง,-,-,-,-,-,-,-,-,"18,439","16,703","17,571",,,,,,,,,,,,,,,,,
28,ท่าสาธุประดิษฐ์,ท่าพระประแดง,"14,924","13,833","11,994","11,525","10,918","10,955","13,638","13,035","10,260","4,592","11,567",,,,,,,,,,,,,,,,,
29,ท่าพระราม3,ท่าคลองลัดโพธิ์,-,-,-,-,-,-,-,-,"28,093","26,021","27,057",,,,,,,,,,,,,,,,,
30,ท่าคลองเตย,ท่าทั่วไป,"37,816","43,834","37,563","29,650","27,491","29,313","29,570","21,945","28,497","25,458","31,114",,,,,,,,,,,,,,,,,
31,ท่าบางนา,ท่ากานันตี๋,"17,124","17,057","17,774","16,880","15,478","14,343","14,366","14,966","12,997","8,976","14,996",,,,,,,,,,,,,,,,,
32,ท่าวัดบางนานอก,ท่าบางน้าผึ้งนอก,"21,524","21,446","20,929","21,387","21,463","20,901","22,768","26,897","29,393","31,329","23,804",,,,,,,,,,,,,,,,,
33,ท่าเภตรา,ท่าพระประแดง,"61,776","60,445","54,983","54,177","53,951","47,912","47,749","45,692","43,382","38,963","50,903",,,,,,,,,,,,,,,,,
34,ท่าวิบูลย์ศรี,ท่าพระสมุทรเจดีย์,"56,473","50,046","48,423","45,893","45,640","46,630","44,180","45,243","46,091","45,278","47,390",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
